Date,Pays,Filière,Valeur (TWh),
2023-11,Danemark,Nucléaire,,
2023-12,Danemark,Nucléaire,,
2024-01,Danemark,Nucléaire,,
2024-02,Danemark,Nucléaire,,
2024-03,Danemark,Nucléaire,,
2024-04,Danemark,Nucléaire,,
2024-05,Danemark,Nucléaire,,
2024-06,Danemark,Nucléaire,,
2024-07,Danemark,Nucléaire,,
2024-08,Danemark,Nucléaire,,
2024-09,Danemark,Nucléaire,,
2024-10,Danemark,Nucléaire,,
2024-11,Danemark,Nucléaire,,
2024-12,Danemark,Nucléaire,,
2025-01,Danemark,Nucléaire,,
2025-02,Danemark,Nucléaire,,
2025-03,Danemark,Nucléaire,,
2025-04,Danemark,Nucléaire,,
2025-05,Danemark,Nucléaire,,
2025-06,Danemark,Nucléaire,,
2025-07,Danemark,Nucléaire,,
2025-08,Danemark,Nucléaire,,
2025-09,Danemark,Nucléaire,,
2025-10,Danemark,Nucléaire,,
2025-11,Danemark,Nucléaire,,
2016-01,Danemark,Toutes les filières,3,28777532
2016-02,Danemark,Toutes les filières,2,6990738
2016-03,Danemark,Toutes les filières,2,54828824
2016-04,Danemark,Toutes les filières,2,40235633
2016-05,Danemark,Toutes les filières,1,84892469
2016-06,Danemark,Toutes les filières,1,53550113
2016-07,Danemark,Toutes les filières,1,75190707
2016-08,Danemark,Toutes les filières,1,97713498
2016-09,Danemark,Toutes les filières,1,66524786
2016-10,Danemark,Toutes les filières,2,68252892
2016-11,Danemark,Toutes les filières,3,7453051
2016-12,Danemark,Toutes les filières,3,6230094
2017-01,Danemark,Toutes les filières,2,96769766
2017-02,Danemark,Toutes les filières,3,1215567
2017-03,Danemark,Toutes les filières,3,8600056
2017-04,Danemark,Toutes les filières,2,62057805
2017-05,Danemark,Toutes les filières,2,1632498
2017-06,Danemark,Toutes les filières,1,87013669
2017-07,Danemark,Toutes les filières,1,55557051
2017-08,Danemark,Toutes les filières,1,65959069
2017-09,Danemark,Toutes les filières,1,7328382
2017-10,Danemark,Toutes les filières,2,58457702
2017-11,Danemark,Toutes les filières,2,70326168
2017-12,Danemark,Toutes les filières,3,1872234
2018-01,Danemark,Toutes les filières,3,9215233
2018-02,Danemark,Toutes les filières,3,13691339
2018-03,Danemark,Toutes les filières,3,58730839
2018-04,Danemark,Toutes les filières,2,60955848
2018-05,Danemark,Toutes les filières,1,68814685
2018-06,Danemark,Toutes les filières,1,54926085
2018-07,Danemark,Toutes les filières,1,5442816
2018-08,Danemark,Toutes les filières,1,70179547
2018-09,Danemark,Toutes les filières,2,21527799
2018-10,Danemark,Toutes les filières,2,64866547
2018-11,Danemark,Toutes les filières,2,53773327
2018-12,Danemark,Toutes les filières,3,16186797
2019-01,Danemark,Toutes les filières,3,46214258
2019-02,Danemark,Toutes les filières,2,80023637
2019-03,Danemark,Toutes les filières,3,24195453
2019-04,Danemark,Toutes les filières,2,1021245
2019-05,Danemark,Toutes les filières,2,2917172
2019-06,Danemark,Toutes les filières,1,46806898
2019-07,Danemark,Toutes les filières,1,6291752
2019-08,Danemark,Toutes les filières,1,50709618
2019-09,Danemark,Toutes les filières,2,7063538
2019-10,Danemark,Toutes les filières,2,22182569
2019-11,Danemark,Toutes les filières,2,54851238
2019-12,Danemark,Toutes les filières,3,27666478
2020-01,Danemark,Toutes les filières,3,54373067
2020-02,Danemark,Toutes les filières,3,27263988
2020-03,Danemark,Toutes les filières,2,83373402
2020-04,Danemark,Toutes les filières,2,1277277
2020-05,Danemark,Toutes les filières,2,14788437
2020-06,Danemark,Toutes les filières,1,54864356
2020-07,Danemark,Toutes les filières,1,95171711
2020-08,Danemark,Toutes les filières,1,40569412
2020-09,Danemark,Toutes les filières,1,79422526
2020-10,Danemark,Toutes les filières,2,2391873
2020-11,Danemark,Toutes les filières,2,39728799
2020-12,Danemark,Toutes les filières,2,64042843
2021-01,Danemark,Toutes les filières,3,9812667
2021-02,Danemark,Toutes les filières,3,24165884
2021-03,Danemark,Toutes les filières,3,6667381
2021-04,Danemark,Toutes les filières,2,93240552
2021-05,Danemark,Toutes les filières,2,34524702
2021-06,Danemark,Toutes les filières,1,97800184
2021-07,Danemark,Toutes les filières,1,93380453
2021-08,Danemark,Toutes les filières,2,26383172
2021-09,Danemark,Toutes les filières,2,24844179
2021-10,Danemark,Toutes les filières,2,8735424
2021-11,Danemark,Toutes les filières,3,5489386
2021-12,Danemark,Toutes les filières,3,58021772
2022-01,Danemark,Toutes les filières,3,92553869
2022-02,Danemark,Toutes les filières,3,77043163
2022-03,Danemark,Toutes les filières,3,14352437
2022-04,Danemark,Toutes les filières,2,78883125
2022-05,Danemark,Toutes les filières,2,56440606
2022-06,Danemark,Toutes les filières,1,88299158
2022-07,Danemark,Toutes les filières,2,52519873
2022-08,Danemark,Toutes les filières,1,80189098
2022-09,Danemark,Toutes les filières,2,46935758
2022-10,Danemark,Toutes les filières,2,55598004
2022-11,Danemark,Toutes les filières,3,2318326
2022-12,Danemark,Toutes les filières,3,37924118
2023-01,Danemark,Toutes les filières,3,59858289
2023-02,Danemark,Toutes les filières,3,13887659
2023-03,Danemark,Toutes les filières,3,16898891
2023-04,Danemark,Toutes les filières,2,78539103
2023-05,Danemark,Toutes les filières,2,61890541
2023-06,Danemark,Toutes les filières,1,87657875
2023-07,Danemark,Toutes les filières,2,47314216
2023-08,Danemark,Toutes les filières,1,98918973
2023-09,Danemark,Toutes les filières,2,812447
2023-10,Danemark,Toutes les filières,2,76504029
2023-11,Danemark,Toutes les filières,2,77949693
2023-12,Danemark,Toutes les filières,3,53909683
2024-01,Danemark,Toutes les filières,3,99688576
2024-02,Danemark,Toutes les filières,3,47706489
2024-03,Danemark,Toutes les filières,3,40870877
2024-04,Danemark,Toutes les filières,2,91258033
2024-05,Danemark,Toutes les filières,2,50048423
2024-06,Danemark,Toutes les filières,2,32604153
2024-07,Danemark,Toutes les filières,2,25382892
