Date;FiliŠre;Valeur (TWh);Nature
2022-08;Production solaire;2,346857338;Donn‚es Consolid‚es
2022-09;Production solaire;1,849160108;Donn‚es Consolid‚es
2022-10;Production solaire;1,308720964;Donn‚es Consolid‚es
2022-11;Production solaire;0,839241059;Donn‚es Consolid‚es
2022-12;Production solaire;0,494917422;Donn‚es Consolid‚es
2023-01;Production solaire;0,648170693;Donn‚es Consolid‚es
2023-02;Production solaire;1,298805736;Donn‚es Consolid‚es
2023-03;Production solaire;1,702558325;Donn‚es Consolid‚es
2023-04;Production solaire;2,227384923;Donn‚es Consolid‚es
2023-05;Production solaire;2,608779018;Donn‚es Consolid‚es
2023-06;Production solaire;2,772061244;Donn‚es Consolid‚es
2023-07;Production solaire;2,803694003;Donn‚es Consolid‚es
2023-08;Production solaire;2,681674068;Donn‚es Consolid‚es
2023-09;Production solaire;2,372967565;Donn‚es Consolid‚es
2023-10;Production solaire;1,687202078;Donn‚es Consolid‚es
2023-11;Production solaire;0,947276561;Donn‚es Consolid‚es
2023-12;Production solaire;0,734907035;Donn‚es Consolid‚es
2024-01;Production solaire;0,869036918;Donn‚es Consolid‚es
2024-02;Production solaire;1,110793326;Donn‚es Consolid‚es
2024-03;Production solaire;1,997758151;Donn‚es Consolid‚es
2024-04;Production solaire;2,429867175;Donn‚es Consolid‚es
2024-05;Production solaire;2,708895211;Donn‚es Consolid‚es
2024-06;Production solaire;2,9109035;Donn‚es Consolid‚es
2024-07;Production solaire;3,313957816;Donn‚es Consolid‚es
2024-08;Production solaire;3,298649463;Donn‚es Consolid‚es
2024-09;Production solaire;2,348490636;Donn‚es Consolid‚es
2024-10;Production solaire;1,686437143;Donn‚es Consolid‚es
2024-11;Production solaire;1,200861532;Donn‚es Consolid‚es
2024-12;Production solaire;0,910855534;Donn‚es Consolid‚es
2025-01;Production solaire;0,957898369;Donn‚es Consolid‚es
2025-02;Production solaire;1,479530419;Donn‚es Consolid‚es
2025-03;Production solaire;2,477771939;Donn‚es Consolid‚es
2025-04;Production solaire;2,923889724;Donn‚es Consolid‚es
2025-05;Production solaire;3,467774832;Donn‚es Consolid‚es
2025-06;Production solaire;3,751979088;Donn‚es Consolid‚es
2025-07;Production solaire;4,162759524;Donn‚es Consolid‚es
2025-08;Production solaire;3,813970868;Donn‚es Consolid‚es
2025-09;Production solaire;2,868483733;Donn‚es Consolid‚es
2025-10;Production solaire;2,330375894;Donn‚es Consolid‚es
2025-11;Production solaire;1,401011957;Donn‚es Consolid‚es
